flow_duration,protocol,TotPackets,TotBytes,tot_fwd_pkts,totlen_fwd_pkts,fwd_iat_mean,fwd_pkt_len_max,fwd_pkt_len_mean,tot_bwd_pkts,totlen_bwd_pkts,bwd_iat_mean,bwd_pkt_len_max,bwd_pkt_len_mean
7.248,6,1469,1363387,935,1381,7,1408,1330955,534,931,13,2801,32432
7.996,6,19,4338,9,35,999,92,582,10,1069,862,1448,3756
1681.273,17,14,3843,7,30,280211,30,406,7,463,280211,463,3437
0.552,17,4,950,2,40,541,40,136,2,379,537,379,814
0.18,17,3,1063,3,326,90,354,1063,0,0,0,0,0
0.143,6,10,767,5,186,25,186,454,5,45,34,45,313
1752.19,6,183,11234,92,47,19254,208,6695,91,31,19466,31,4539
1798.539,1,16,928,16,30,119902,30,928,0,0,0,0,0
1777.668,17,140,11200,70,48,25763,48,5320,70,56,25763,56,5880
1770.788,6,109,10103,69,65,26041,65,5875,40,59,45402,59,4228
0.423,6,15,2237,7,324,70,585,1009,8,396,49,580,1228
0.05,17,2,180,1,30,0,30,58,1,94,0,94,122
321.644,6,24,1735,18,43,18920,43,1375,6,0,63749,0,360
125.368,6,15,3196,8,92,17909,92,504,7,464,20863,2026,2692
0.937,17,3,634,2,32,930,32,120,1,486,0,486,514
1.853,17,4,334,2,39,1822,39,134,2,72,1817,72,200
28.437,6,10,4827,4,171,1146,171,387,6,1030,5687,1448,4440
1776.827,17,142,11360,71,48,25382,48,5396,71,56,25382,56,5964
1.244,6,50,18899,27,863,47,1360,13203,23,433,49,1360,5696
115.992,6,30,7432,13,158,9666,267,1317,17,603,7247,2076,6115
12.285,6,1941,1696433,1177,1387,10,1420,1661652,764,526,16,3303,34781
0.873,6,11,1727,7,100,145,100,384,4,589,205,1152,1343
53.427,6,18,740,10,0,5936,0,404,8,0,5149,0,336
0.236,17,2,384,1,39,0,39,67,1,289,0,289,317
1788.713,6,362,22898,210,69,8558,69,12678,152,69,11844,69,10220
2.058,17,3,174,3,30,1029,30,174,0,0,0,0,0
64.38,6,23,6778,10,179,32,318,1257,13,967,5361,2736,5521
2.969,17,4,928,4,204,989,204,928,0,0,0,0,0
15.017,6,24,1742,13,275,1251,275,1086,11,96,1376,96,656
1772.694,6,180,15480,120,69,14896,69,8940,60,69,30044,69,6540
1.412,6,46,19130,27,891,54,1360,13594,19,529,67,4075,5536
13.363,17,4,352,2,48,13355,48,152,2,72,13355,72,200
0.626,6,21,5975,12,282,56,517,1760,9,931,73,1946,4215
0.007,6,2,218,1,138,0,138,178,1,0,0,0,40
1.298,6,51,23816,30,998,44,1360,18200,21,476,55,2715,5616
0.296,6,27,8932,13,227,24,547,1604,14,941,22,1408,7328
19.451,17,24,11695,14,651,1493,1350,9517,10,189,2157,1350,2178
5.161,6,6,468,5,106,1290,106,420,1,0,0,0,48
0.547,6,14,1745,7,288,65,288,600,7,426,64,434,1145
1799.696,17,179,13962,179,50,10110,50,13962,0,0,0,0,0
1776.079,6,181,15589,120,69,14925,69,8940,61,69,29592,69,6649
0.5,17,3,543,2,39,421,39,134,1,381,0,381,409
17.042,17,25,7304,12,351,1546,1350,4557,13,183,1417,1350,2747
1774.242,6,180,15480,120,69,14909,69,8940,60,69,30064,69,6540
1696.972,1,8,848,8,78,242424,78,848,0,0,0,0,0
31.284,6,4759,4596383,3183,1367,9,1408,4509767,1576,776,19,1408,86616
138.689,17,6,2016,6,308,27737,308,2016,0,0,0,0,0
7.163,6,4,240,4,0,0,0,240,0,0,0,0,0
62.292,6,85,56655,50,1197,1271,1368,48100,35,840,1824,2519,8555
1783.485,17,83,3480,82,14,22018,14,3444,1,8,0,8,36
102.213,6,77,52194,47,1219,2222,1448,43909,30,746,2130,1448,8285
0.573,17,4,566,2,31,563,31,118,2,196,236,196,448
6.794,6,675,577717,410,1334,16,1368,557789,265,776,24,1473,19928
11.49,6,5,260,2,0,3321,0,104,3,0,5745,0,156
248.842,6,400,386077,259,240,964,256,18232,141,2816,1777,12672,367845
0.362,17,8,2766,8,317,51,356,2766,0,0,0,0,0
